venueid;chainid;chainname;data
4b4e2ff1f964a5209ee426e3;556dfce1a7c82e6b724e4092;Citibank;1
4b75afcdf964a520fa1c2ee3;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c017adb0bce20a1c0d3f6c6;556dfce1a7c82e6b724e4092;Citibank;1
4c01a4141747a5937add5dca;556d0a3aaceaff43eb082e54;Macy's;1
4c1a93ad63750f470083b367;556d0a3aaceaff43eb082e54;Macy's;1
4c1aae3feac020a1a8ad43c2;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c58d4602091a593c0a65bd0;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c62dfffedd320a141f9ad29;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c698d740e98a5930bc12459;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c754cccdb52b1f7ac5178dc;556dfce1a7c82e6b724e4092;Citibank;1
4cb89b93bac93704f96cde7c;556dfce1a7c82e6b724e4092;Citibank;1
4cc88c44b3f5224b319aef20;556dfce1a7c82e6b724e4092;Citibank;1
4d118b5c99b78cfafee9cad5;556d0a3aaceaff43eb082e54;Macy's;1
4d1a1425731976eb4a6709dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d78f9e4db7c5481715039f2;556de8c8a7c82f0fe987b2d2;Foot Locker;1
5010783ae4b0bff60204cd82;556d0a3aaceaff43eb082e54;Macy's;1
4af05732f964a52049db21e3;556d0a3aaceaff43eb082e54;Macy's;1
4b019a13f964a520ca4322e3;556dfce1a7c82e6b724e4092;Citibank;1
4b999d05f964a5207c8735e3;556dfce1a7c82e6b724e4092;Citibank;1
4ba5294ef964a520e5e538e3;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4bb64cb76edc76b0a6b7301c;556dfce1a7c82e6b724e4092;Citibank;1
4bbcb6ed593fef3bbb7f0256;556d0a3aaceaff43eb082e54;Macy's;1
4bd4aab6cfa7b713689824da;556d0a3aaceaff43eb082e54;Macy's;1
4bdeee6d921d9521c5086932;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4be1a1cd85670f47faae2bd7;556dfce1a7c82e6b724e4092;Citibank;1
4bf56ac9706e20a1666faa98;556dfce1a7c82e6b724e4092;Citibank;1
4bfc71ecda7120a1441c4afd;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c51df822543a593b8fc9984;556d0a3aaceaff43eb082e54;Macy's;1
4c5c6c537735c9b6df3e8c72;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c66b15619f3c9b67579a0ff;556d0a3aaceaff43eb082e54;Macy's;1
4c94ea4882b56dcbe087d3aa;556dfce1a7c82e6b724e4092;Citibank;1
4c964e6303413704e04083ef;556dfce1a7c82e6b724e4092;Citibank;1
4d1a1419731976eb086309dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a144b731976ebfa7309dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a1466731976eb757b09dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a1476731976eb058209dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a1487731976ebb68709dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d70ffdf419da35d9fde0dd8;556dfce1a7c82e6b724e4092;Citibank;1
4d8cac6cfe8d41bd3d7ed705;556d0a3aaceaff43eb082e54;Macy's;1
50e673a4e4b0ad41d834b9ce;556dfce1a7c82e6b724e4092;Citibank;1
5b663ef39e0d54002cb683f0;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4b2d6a1ff964a5202ed624e3;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4b6efa6ef964a5205dd42ce3;556d0a3aaceaff43eb082e54;Macy's;1
4b818d6ff964a5207eae30e3;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4b896b54f964a520833432e3;556dfce1a7c82e6b724e4092;Citibank;1
4ba4d82df964a5207cba38e3;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4bcf9002462cb7139f01d707;556dfce1a7c82e6b724e4092;Citibank;1
4c66cbc6e1da1b8d0bef9bc3;556dfce1a7c82e6b724e4092;Citibank;1
4c9e21fc8afca093148bfd15;556dfce1a7c82e6b724e4092;Citibank;1
4cd5b6b84ebba0904fd5a9d6;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a140f731976eb965f09dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a143b731976eb426e09dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a146d731976ebb47e09dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d7fb02de7e1721e0136f70b;556dfce1a7c82e6b724e4092;Citibank;1
4e285dbbd4c0e361d9dd6412;556dfce1a7c82e6b724e4092;Citibank;1
4e383949b0fbcceaf0e8e112;556dfce1a7c82e6b724e4092;Citibank;1
4f202266aad29cb17b2a2814;556dfce1a7c82e6b724e4092;Citibank;1
5665b7b9498e97d0c88702d5;556de8c8a7c82f0fe987b2d2;Foot Locker;1
58ddb8c13ef0f619b7cb08ed;;;1
4adcaf16f964a520b72e21e3;556d0a3aaceaff43eb082e54;Macy's;1
4aec77b7f964a52078c721e3;556dfce1a7c82e6b724e4092;Citibank;1
4b1c3c51f964a520d20424e3;556d0a3aaceaff43eb082e54;Macy's;1
4b283e2ff964a520709124e3;556d0a3aaceaff43eb082e54;Macy's;1
4b6a0541f964a52042c22be3;556d0a3aaceaff43eb082e54;Macy's;1
4baf9024f964a520050b3ce3;556d0a3aaceaff43eb082e54;Macy's;1
4bba3c8198c7ef3baddd3202;556dfce1a7c82e6b724e4092;Citibank;1
4bfab7778d30d13a6ffd0318;556dfce1a7c82e6b724e4092;Citibank;1
4bfec3fdc30a2d7f4cf80f1d;556dfce1a7c82e6b724e4092;Citibank;1
4c3e0d4b0e0d0f479a03157f;556d0a3aaceaff43eb082e54;Macy's;1
4c485f30417b20a166b1e0a9;556dfce1a7c82e6b724e4092;Citibank;1
4c5b044baeb7b713f40174cd;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c7ec6e2d51ea143c3b1589f;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c9d2529542b224bcb2fe79f;556dfce1a7c82e6b724e4092;Citibank;1
4ca7c655f47ea14314556e21;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4caf50261463a1437d8193a9;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4cdf4284c4f6a35d5a61cf6c;556d0a3aaceaff43eb082e54;Macy's;1
4d1a1423731976eb5c6609dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a142a731976ebc36809dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a1440731976eb197009dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a1469731976ebe27c09dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d3f470490f9224b8892fb1d;556dfce1a7c82e6b724e4092;Citibank;1
4d7a933d92baa143329756eb;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4dde7e0b18387791399f0a48;556dfce1a7c82e6b724e4092;Citibank;1
4e4c663852b1075a638b453b;556d0a3aaceaff43eb082e54;Macy's;1
4f202265aad29cb17b2a26e5;556dfce1a7c82e6b724e4092;Citibank;1
51098c8df470bb33c867fa7f;556dfce1a7c82e6b724e4092;Citibank;1
4a50ed66f964a52043b01fe3;556d0a3aaceaff43eb082e54;Macy's;1
4a90a7dcf964a520f91820e3;556d0a3aaceaff43eb082e54;Macy's;1
4ab557d1f964a5200e7420e3;556d0a3aaceaff43eb082e54;Macy's;1
4b259546f964a520237424e3;556d0a3aaceaff43eb082e54;Macy's;1
4b64a813f964a52010c62ae3;556d0a3aaceaff43eb082e54;Macy's;1
4b94206bf964a520e86934e3;556d0a3aaceaff43eb082e54;Macy's;1
4ba54fdbf964a52058f938e3;556d0a3aaceaff43eb082e54;Macy's;1
4bb286aaa32876b0ddbb00fe;556dfce1a7c82e6b724e4092;Citibank;1
4bb3ae4535f0c9b606bcbc83;556d0a3aaceaff43eb082e54;Macy's;1
4bb5001962fca593fb3df17e;556dfce1a7c82e6b724e4092;Citibank;1
4bbf71df85fbb713aa357267;556dfce1a7c82e6b724e4092;Citibank;1
4bc5044e0969a593605d636e;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4be9fbd5415e20a15591e4bb;556dfce1a7c82e6b724e4092;Citibank;1
4bf81a2a5317a5932c2cff7e;556dfce1a7c82e6b724e4092;Citibank;1
4c38f3d8dfb0e21e8d9dafa8;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4c49f48420ab1b8da34a7917;556dfce1a7c82e6b724e4092;Citibank;1
4c71a6b857b6a143a89cc3cc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4cc759b394e1a0932325918b;556dfce1a7c82e6b724e4092;Citibank;1
4d1a142c731976eb416909dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
4d1a1433731976eb286b09dc;556de8c8a7c82f0fe987b2d2;Foot Locker;1
