venueid;utc_date;gender;age;score;dwell
4cf7c1e21cfea0933b8de639;2020-06-02;Male;Age_40_to_44;163.3984835905267;326
4cf7c1e21cfea0933b8de639;2020-06-02;Female;Age_40_to_44;223.92861959032396;187
4cf7c1e21cfea0933b8de639;2020-06-02;Female;Age_45_to_49;290.25431161269245;1044
4cf7c1e21cfea0933b8de639;2020-06-01;Male;Age_45_to_49;206.6218864887689;4732
4cf7c1e21cfea0933b8de639;2020-06-01;Female;Age_45_to_49;207.63822613252938;11003
4cf7c1e21cfea0933b8de639;2020-06-01;Female;Age_35_to_39;229.52328903012727;48302
4c51df822543a593b8fc9984;2020-06-21;;;0.0;608
4cf7c1e21cfea0933b8de639;2020-06-02;Male;Age_40_to_44;187.99934010813521;40353
4c51df822543a593b8fc9984;2020-06-21;Male;Age_60_to_64;399.56646374831786;2565
4cf7c1e21cfea0933b8de639;2020-06-02;Male;Age_40_to_44;178.2771344929512;458
4c51df822543a593b8fc9984;2020-06-21;Female;Age_35_to_39;357.71182711617786;917
4cf7c1e21cfea0933b8de639;2020-06-21;Female;Age_45_to_49;225.26513173159123;6930
4c51df822543a593b8fc9984;2020-06-21;Female;Age_45_to_49;313.9951017651061;294
4c51df822543a593b8fc9984;2020-06-21;Male;Age_25_to_29;278.21405067940816;3438
4c51df822543a593b8fc9984;2020-06-21;Female;Age_20_to_24;294.3028146673597;3813
4c51df822543a593b8fc9984;2020-06-21;Female;Age_20_to_24;373.2447228636863;429
4c51df822543a593b8fc9984;2020-06-21;Female;Age_20_to_24;401.4903789632263;3479
4c51df822543a593b8fc9984;2020-06-21;Female;Age_25_to_29;285.4117993397649;3414
4cf7c1e21cfea0933b8de639;2020-06-03;Male;Age_40_to_44;175.58816073284532;19685
4c51df822543a593b8fc9984;2020-06-21;Female;Age_20_to_24;356.2911610770771;1845
4cf7c1e21cfea0933b8de639;2020-06-03;Male;Age_30_to_34;196.75247776527547;3437
4c51df822543a593b8fc9984;2020-06-21;Male;Age_30_to_34;296.0992055399893;27496
4cf7c1e21cfea0933b8de639;2020-06-03;Male;Age_40_to_44;158.0750446409253;1404
4c51df822543a593b8fc9984;2020-06-23;;;0.0;2961
4cf7c1e21cfea0933b8de639;2020-06-04;Male;Age_40_to_44;179.45766198515108;18663
4c51df822543a593b8fc9984;2020-06-23;Female;Age_25_to_29;331.3120560500663;555
